seed,baseline,B_max,delta,eta,oscillation_rate,recovery_steps_per_episode,bound_ratio,bound_violation_rate,regret_vs_pi_rb
47,BL-UNBOUNDED-BRANCHING,1,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,1,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,1,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,1,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,1,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.2,0.02,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,1,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,1,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,1,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.2,0.05,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,1,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,1,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,1,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,1,0.2,0.08,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,1,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,1,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,1,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.2,0.02,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.2,0.05,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,2,0.2,0.08,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,2,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,2,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,2,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.05,0.02,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.05,0.02,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.05,0.05,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.05,0.05,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.05,0.08,1.0,24.0,1.0909090909090908,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.05,0.08,1.0,25.999999999999996,1.0833333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.1,0.02,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.1,0.02,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.1,0.05,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.1,0.05,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.1,0.08,1.0,13.0,1.1818181818181819,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.1,0.08,1.0,13.999999999999998,1.1666666666666665,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.2,0.02,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.2,0.02,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.2,0.05,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
47,BL-UNBOUNDED-BRANCHING,3,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
89,BL-UNBOUNDED-BRANCHING,3,0.2,0.05,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
13,BL-UNBOUNDED-BRANCHING,3,0.2,0.08,1.0,7.5,1.25,1.0,0.07
29,BL-UNBOUNDED-BRANCHING,3,0.2,0.08,1.0,7.999999999999999,1.3333333333333333,1.0,0.07
