claim_id,baseline,seed,B_max,delta,eta,recovery_steps_per_episode,oscillation_rate,bound_violation_rate,bound_ratio,regret_vs_pi_rb,cumulative_policy_cost
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,1,0.2,0.08,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.05,0.02,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.05,0.05,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.05,0.08,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.1,0.02,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.1,0.05,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.1,0.08,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.2,0.02,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.2,0.05,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,2,0.2,0.08,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.05,0.02,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.05,0.05,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.05,0.08,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.1,0.02,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.1,0.05,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.1,0.08,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.2,0.02,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.2,0.05,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,3,0.2,0.08,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.05,0.02,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.05,0.05,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.05,0.08,22.0,1.0,1.0,1.1,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.1,0.02,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.1,0.05,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.1,0.08,12.0,1.0,1.0,1.2,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.2,0.02,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.2,0.05,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-UNBOUNDED-BRANCHING,13,5,0.2,0.08,7.0,1.0,1.0,1.4,0.08,0.11
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.05,0.02,1.0,0.0,0.0,0.05,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.05,0.05,1.0,1.0,0.0,0.05,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.05,0.08,1.0,1.0,0.0,0.05,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.1,0.02,1.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.1,0.05,1.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.1,0.08,1.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.2,0.02,1.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.2,0.05,1.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,1,0.2,0.08,1.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.05,0.02,2.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.05,0.05,2.0,1.0,0.0,0.1,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.05,0.08,2.0,1.0,0.0,0.1,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.1,0.02,2.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.1,0.05,2.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.1,0.08,2.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.2,0.02,2.0,0.0,0.0,0.4,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.2,0.05,2.0,0.0,0.0,0.4,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,2,0.2,0.08,2.0,0.0,0.0,0.4,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.05,0.02,3.0,0.0,0.0,0.15,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.05,0.05,3.0,1.0,0.0,0.15,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.05,0.08,3.0,1.0,0.0,0.15,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.1,0.02,3.0,0.0,0.0,0.3,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.1,0.05,3.0,0.0,0.0,0.3,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.1,0.08,3.0,0.0,0.0,0.3,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.2,0.02,3.0,0.0,0.0,0.6,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.2,0.05,3.0,0.0,0.0,0.6,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,3,0.2,0.08,3.0,0.0,0.0,0.6,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.05,0.02,5.0,0.0,0.0,0.25,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.05,0.05,5.0,1.0,0.0,0.25,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.05,0.08,5.0,1.0,0.0,0.25,0.06,0.09
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.1,0.02,5.0,0.0,0.0,0.5,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.1,0.05,5.0,0.0,0.0,0.5,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.1,0.08,5.0,0.0,0.0,0.5,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.2,0.02,5.0,0.0,0.0,1.0,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.2,0.05,5.0,0.0,0.0,1.0,0.06,0.06
HM-TH-02,BL-FIXED-DEPTH-BACKTRACK,13,5,0.2,0.08,5.0,0.0,0.0,1.0,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.05,0.02,1.0,0.0,0.0,0.05,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.05,0.05,1.0,1.0,0.0,0.05,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.05,0.08,1.0,1.0,0.0,0.05,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.1,0.02,1.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.1,0.05,1.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.1,0.08,1.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.2,0.02,1.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.2,0.05,1.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,1,0.2,0.08,1.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.05,0.02,2.0,0.0,0.0,0.1,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.05,0.05,2.0,1.0,0.0,0.1,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.05,0.08,2.0,1.0,0.0,0.1,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.1,0.02,2.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.1,0.05,2.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.1,0.08,2.0,0.0,0.0,0.2,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.2,0.02,2.0,0.0,0.0,0.4,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.2,0.05,2.0,0.0,0.0,0.4,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,2,0.2,0.08,2.0,0.0,0.0,0.4,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.05,0.02,3.0,0.0,0.0,0.15,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.05,0.05,3.0,1.0,0.0,0.15,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.05,0.08,3.0,1.0,0.0,0.15,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.1,0.02,3.0,0.0,0.0,0.3,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.1,0.05,3.0,0.0,0.0,0.3,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.1,0.08,3.0,0.0,0.0,0.3,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.2,0.02,3.0,0.0,0.0,0.6,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.2,0.05,3.0,0.0,0.0,0.6,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,3,0.2,0.08,3.0,0.0,0.0,0.6,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.05,0.02,5.0,0.0,0.0,0.25,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.05,0.05,5.0,1.0,0.0,0.25,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.05,0.08,5.0,1.0,0.0,0.25,0.06,0.09
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.1,0.02,5.0,0.0,0.0,0.5,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.1,0.05,5.0,0.0,0.0,0.5,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.1,0.08,5.0,0.0,0.0,0.5,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.2,0.02,5.0,0.0,0.0,1.0,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.2,0.05,5.0,0.0,0.0,1.0,0.06,0.06
HM-TH-02,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,13,5,0.2,0.08,5.0,0.0,0.0,1.0,0.06,0.06
