claim_id,seed,guard_mode,attack_class,theta,mutation_rate,false_accept_rate,false_reject_rate,far,frr,far_contraction_ratio,trace_hash_integrity_pass_rate,audit_link_completeness
HM-TH-03,31,trust_only,covered,0.7,0.0,0.18,0.104,0.18,0.104,1.0,1.0,1.0
HM-TH-03,43,trust_only,covered,0.7,0.0,0.18,0.104,0.18,0.104,1.0,1.0,1.0
HM-TH-03,97,trust_only,covered,0.7,0.0,0.18,0.104,0.18,0.104,1.0,1.0,1.0
HM-TH-03,17,trust_only,covered,0.7,0.01,0.1808,0.104,0.1808,0.104,1.0044444444444445,0.0,1.0
HM-TH-03,31,trust_only,covered,0.7,0.01,0.1808,0.104,0.1808,0.104,1.0044444444444445,0.0,1.0
HM-TH-03,43,trust_only,covered,0.7,0.01,0.1808,0.104,0.1808,0.104,1.0044444444444445,0.0,1.0
HM-TH-03,97,trust_only,covered,0.7,0.01,0.1808,0.104,0.1808,0.104,1.0044444444444445,0.0,1.0
HM-TH-03,17,trust_only,covered,0.7,0.05,0.184,0.104,0.184,0.104,1.0222222222222221,0.0,1.0
HM-TH-03,31,trust_only,covered,0.7,0.05,0.184,0.104,0.184,0.104,1.0222222222222221,0.0,1.0
HM-TH-03,43,trust_only,covered,0.7,0.05,0.184,0.104,0.184,0.104,1.0222222222222221,0.0,1.0
HM-TH-03,97,trust_only,covered,0.7,0.05,0.184,0.104,0.184,0.104,1.0222222222222221,0.0,1.0
HM-TH-03,17,trust_only,covered,0.85,0.0,0.18,0.107,0.18,0.107,1.0,1.0,1.0
HM-TH-03,31,trust_only,covered,0.85,0.0,0.18,0.107,0.18,0.107,1.0,1.0,1.0
HM-TH-03,43,trust_only,covered,0.85,0.0,0.18,0.107,0.18,0.107,1.0,1.0,1.0
HM-TH-03,97,trust_only,covered,0.85,0.0,0.18,0.107,0.18,0.107,1.0,1.0,1.0
HM-TH-03,17,trust_only,covered,0.85,0.01,0.1808,0.107,0.1808,0.107,1.0044444444444445,0.0,1.0
HM-TH-03,31,trust_only,covered,0.85,0.01,0.1808,0.107,0.1808,0.107,1.0044444444444445,0.0,1.0
HM-TH-03,43,trust_only,covered,0.85,0.01,0.1808,0.107,0.1808,0.107,1.0044444444444445,0.0,1.0
HM-TH-03,97,trust_only,covered,0.85,0.01,0.1808,0.107,0.1808,0.107,1.0044444444444445,0.0,1.0
HM-TH-03,17,trust_only,covered,0.85,0.05,0.184,0.107,0.184,0.107,1.0222222222222221,0.0,1.0
HM-TH-03,31,trust_only,covered,0.85,0.05,0.184,0.107,0.184,0.107,1.0222222222222221,0.0,1.0
